GSM149579	GSM149580	GSM149581	GSM149582	GSM149583	GSM149584	GSM149585	GSM149586	GSM149587	GSM149588	GSM149589	GSM149590	GSM149591	GSM149592	GSM149593	GSM149594	GSM149595	GSM149596	GSM149597	GSM149598
Glycolysis / Gluconeogenesis (KEGG)	0	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1
Citrate cycle (TCA cycle) (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
Pentose phosphate pathway (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	0	0	0	-1	-1
Pentose and glucuronate interconversions (KEGG)	0	0	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	1	1	1	-1	-1
Fructose and mannose metabolism (KEGG)	0	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
Galactose metabolism (KEGG)	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	0	0	0	0	-1	-1
Ascorbate and aldarate metabolism (KEGG)	1	1	1	1	0	0	-1	-1	-1	-1	-1	-1	0	0	1	1	1	1	0	-1
Fatty acid biosynthesis (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
Fatty acid elongation in mitochondria (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Fatty acid metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Synthesis and degradation of ketone bodies (KEGG)	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	-1	-1	0	0
Steroid biosynthesis (KEGG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Primary bile acid biosynthesis (KEGG)	0	0	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1
Ubiquinone and other terpenoid-quinone biosynthesis (KEGG)	-1	-1	-1	-1	0	0	0	0	1	1	1	1	1	0	-1	-1	-1	-1	1	-1
Steroid hormone biosynthesis (KEGG)	-1	-1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	0	-1
Oxidative phosphorylation (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Purine metabolism (KEGG)	-1	-1	-1	-1	-1	0	0	0	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1
Caffeine metabolism (KEGG)	0	-1	1	1	0	0	0	1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1
Pyrimidine metabolism (KEGG)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	-1	-1	-1	-1	0	0
Alanine, aspartate and glutamate metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Glycine, serine and threonine metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
Cysteine and methionine metabolism (KEGG)	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1
