GSM	Tissue	Platform
GSM11805	kidney	GPL96
GSM11823	kidney	GPL96
GSM12075	kidney	GPL96
GSM12098	kidney	GPL96
GSM12268	kidney	GPL96
GSM12283	kidney	GPL96
GSM12300	kidney	GPL96
GSM12444	kidney	GPL96
GSM24652	skeletal muscle	GPL96
GSM24653	skeletal muscle	GPL96
GSM24654	skeletal muscle	GPL96
GSM139501	skeletal muscle	GPL96
GSM139502	skeletal muscle	GPL96
GSM139503	skeletal muscle	GPL96
GSM139504	skeletal muscle	GPL96
GSM139505	skeletal muscle	GPL96
GSM139507	skeletal muscle	GPL96
GSM139508	skeletal muscle	GPL96
GSM139511	skeletal muscle	GPL96
GSM139512	skeletal muscle	GPL96
GSM139513	skeletal muscle	GPL96
GSM146778	kidney	GPL96
GSM146782	kidney	GPL96
GSM146789	kidney	GPL96
GSM35979	kidney	GPL96
GSM35980	kidney	GPL96
GSM35981	kidney	GPL96
GSM35982	liver	GPL96
GSM35983	liver	GPL96
GSM35984	liver	GPL96
GSM35985	spleen	GPL96
GSM35986	spleen	GPL96
GSM35987	spleen	GPL96
GSM35991	kidney	GPL96
GSM35992	kidney	GPL96
GSM35993	kidney	GPL96
GSM35994	liver	GPL96
GSM35995	liver	GPL96
GSM35996	liver	GPL96
GSM35997	spleen	GPL96
GSM35998	spleen	GPL96
GSM35999	spleen	GPL96
GSM36003	kidney	GPL96
GSM44673	spleen	GPL96
GSM44675	kidney	GPL96
GSM44676	skeletal muscle	GPL96
GSM44690	brain	GPL96
GSM44702	liver	GPL96
GSM44704	lung	GPL96
GSM123271	brain	GPL96
GSM123272	brain	GPL96
GSM123273	brain	GPL96
GSM123274	brain	GPL96
GSM123275	brain	GPL96
GSM123276	brain	GPL96
GSM123277	brain	GPL96
GSM123278	brain	GPL96
GSM254626	lung	GPL96
GSM254628	lung	GPL96
GSM254632	lung	GPL96
GSM254634	lung	GPL96
GSM254635	lung	GPL96
GSM254638	lung	GPL96
GSM254640	lung	GPL96
GSM254643	lung	GPL96
GSM254644	lung	GPL96
GSM254646	lung	GPL96
GSM254649	lung	GPL96
GSM254651	lung	GPL96
GSM254653	lung	GPL96
GSM254655	lung	GPL96
GSM254658	lung	GPL96
GSM254660	lung	GPL96
GSM254662	lung	GPL96
GSM254665	lung	GPL96
GSM254667	lung	GPL96
GSM254669	lung	GPL96
GSM254671	lung	GPL96
GSM254673	lung	GPL96
GSM254676	lung	GPL96
GSM254677	lung	GPL96
GSM254679	lung	GPL96
GSM254681	lung	GPL96
GSM254683	lung	GPL96
GSM254685	lung	GPL96
GSM254689	lung	GPL96
GSM254691	lung	GPL96
GSM254693	lung	GPL96
GSM254695	lung	GPL96
GSM254699	lung	GPL96
GSM254702	lung	GPL96
GSM254703	lung	GPL96
GSM254706	lung	GPL96
GSM254708	lung	GPL96
GSM254710	lung	GPL96
GSM254711	lung	GPL96
GSM254712	lung	GPL96
GSM254713	lung	GPL96
GSM254715	lung	GPL96
GSM254717	lung	GPL96
GSM254719	lung	GPL96
GSM254723	lung	GPL96
GSM254725	lung	GPL96
GSM254727	lung	GPL96
GSM254730	lung	GPL96
GSM254731	lung	GPL96
GSM18921	brain	GPL96
GSM18922	brain	GPL96
GSM18949	lung	GPL96
GSM18950	lung	GPL96
GSM18953	liver	GPL96
GSM18954	liver	GPL96
GSM18955	kidney	GPL96
GSM18956	kidney	GPL96
GSM299244	liver	GPL96
GSM299245	liver	GPL96
GSM299246	liver	GPL96
GSM299247	liver	GPL96
GSM303205	skeletal muscle	GPL96
GSM303206	skeletal muscle	GPL96
GSM303207	skeletal muscle	GPL96
GSM303208	skeletal muscle	GPL96
GSM279060	kidney	GPL570
GSM279061	kidney	GPL570
GSM279062	kidney	GPL570
GSM279063	liver	GPL570
GSM279064	liver	GPL570
GSM279065	liver	GPL570
GSM281311	kidney	GPL570
GSM281312	kidney	GPL570
GSM281314	kidney	GPL570
GSM281315	kidney	GPL570
GSM281316	kidney	GPL570
GSM80707	lung	GPL570
GSM80710	lung	GPL570
GSM80712	lung	GPL570
GSM80728	liver	GPL570
GSM80729	liver	GPL570
GSM80730	liver	GPL570
GSM80739	liver	GPL570
GSM80807	spleen	GPL570
GSM80808	spleen	GPL570
GSM80825	spleen	GPL570
GSM80826	spleen	GPL570
GSM103559	skeletal muscle	GPL570
GSM103560	skeletal muscle	GPL570
GSM103563	skeletal muscle	GPL570
GSM103564	skeletal muscle	GPL570
GSM103565	skeletal muscle	GPL570
GSM138595	liver	GPL570
GSM138596	liver	GPL570
GSM155919	liver	GPL570
GSM155926	liver	GPL570
GSM155927	liver	GPL570
GSM155928	liver	GPL570
GSM155947	liver	GPL570
GSM155948	liver	GPL570
GSM155961	liver	GPL570
GSM155964	liver	GPL570
GSM155988	liver	GPL570
GSM155989	liver	GPL570
GSM175882	skeletal muscle	GPL570
GSM175883	skeletal muscle	GPL570
GSM175884	skeletal muscle	GPL570
GSM175911	kidney	GPL570
GSM175940	skeletal muscle	GPL570
GSM175941	spleen	GPL570
GSM175977	lung	GPL570
GSM176012	lung	GPL570
GSM176021	lung	GPL570
GSM176328	spleen	GPL570
GSM176329	spleen	GPL570
GSM176330	spleen	GPL570
GSM176331	spleen	GPL570
GSM176332	liver	GPL570
GSM176333	liver	GPL570
GSM176334	liver	GPL570
GSM176335	liver	GPL570
GSM198783	kidney	GPL570
GSM198785	kidney	GPL570
GSM240832	kidney	GPL570
GSM240833	kidney	GPL570
GSM240834	kidney	GPL570
GSM240835	kidney	GPL570
GSM240836	kidney	GPL570
GSM240837	kidney	GPL570
GSM240838	kidney	GPL570
GSM240839	kidney	GPL570
GSM240840	kidney	GPL570
GSM240841	kidney	GPL570
GSM240842	kidney	GPL570
GSM240843	kidney	GPL570
GSM240844	kidney	GPL570
GSM240947	kidney	GPL570
GSM240948	kidney	GPL570
GSM258681	kidney	GPL1261
GSM258682	kidney	GPL1261
GSM258687	liver	GPL1261
GSM258688	liver	GPL1261
GSM258689	lung	GPL1261
GSM258690	lung	GPL1261
GSM258767	spleen	GPL1261
GSM258768	spleen	GPL1261
GSM264767	liver	GPL1261
GSM264768	liver	GPL1261
GSM264769	liver	GPL1261
GSM264773	liver	GPL1261
GSM264774	liver	GPL1261
GSM264775	liver	GPL1261
GSM264779	liver	GPL1261
GSM264780	liver	GPL1261
GSM264781	liver	GPL1261
GSM264785	liver	GPL1261
GSM264786	liver	GPL1261
GSM264787	liver	GPL1261
GSM264791	liver	GPL1261
GSM264792	liver	GPL1261
GSM264793	liver	GPL1261
GSM264797	liver	GPL1261
GSM264798	liver	GPL1261
GSM264799	liver	GPL1261
GSM264803	liver	GPL1261
GSM264804	liver	GPL1261
GSM264805	liver	GPL1261
GSM264809	liver	GPL1261
GSM264810	liver	GPL1261
GSM264811	liver	GPL1261
GSM264845	liver	GPL1261
GSM264846	liver	GPL1261
GSM264847	liver	GPL1261
GSM264852	liver	GPL1261
GSM264853	liver	GPL1261
GSM264855	liver	GPL1261
GSM264859	liver	GPL1261
GSM264861	liver	GPL1261
GSM264862	liver	GPL1261
GSM264867	liver	GPL1261
GSM264868	liver	GPL1261
GSM264872	liver	GPL1261
GSM264873	liver	GPL1261
GSM264874	liver	GPL1261
GSM264890	liver	GPL1261
GSM264891	liver	GPL1261
GSM264892	liver	GPL1261
GSM264896	liver	GPL1261
GSM264897	liver	GPL1261
GSM264898	liver	GPL1261
GSM264902	liver	GPL1261
GSM264903	liver	GPL1261
GSM264904	liver	GPL1261
GSM264908	liver	GPL1261
GSM264909	liver	GPL1261
GSM264910	liver	GPL1261
GSM264915	liver	GPL1261
GSM264916	liver	GPL1261
GSM264917	liver	GPL1261
GSM264922	liver	GPL1261
GSM264924	liver	GPL1261
GSM264925	liver	GPL1261
GSM264930	liver	GPL1261
GSM264931	liver	GPL1261
GSM264932	liver	GPL1261
GSM265061	liver	GPL1261
GSM265062	liver	GPL1261
GSM265063	liver	GPL1261
GSM265067	liver	GPL1261
GSM265068	liver	GPL1261
GSM265069	liver	GPL1261
GSM265074	liver	GPL1261
GSM265075	liver	GPL1261
GSM265105	liver	GPL1261
GSM265324	liver	GPL1261
GSM265331	liver	GPL1261
GSM265357	liver	GPL1261
GSM267980	kidney	GPL1261
GSM267982	kidney	GPL1261
GSM267983	kidney	GPL1261
GSM267986	kidney	GPL1261
GSM267990	kidney	GPL1261
GSM267991	kidney	GPL1261
GSM267994	kidney	GPL1261
GSM271176	lung	GPL1261
GSM271177	lung	GPL1261
GSM271178	lung	GPL1261
GSM271179	lung	GPL1261
GSM271180	lung	GPL1261
GSM271181	lung	GPL1261
GSM271182	lung	GPL1261
GSM271183	lung	GPL1261
GSM271184	lung	GPL1261
GSM271185	lung	GPL1261
GSM271186	lung	GPL1261
GSM271187	lung	GPL1261
GSM271188	lung	GPL1261
GSM271189	lung	GPL1261
GSM271190	lung	GPL1261
GSM271191	lung	GPL1261
GSM271192	lung	GPL1261
GSM271193	lung	GPL1261
GSM271194	kidney	GPL1261
GSM271195	kidney	GPL1261
GSM271196	kidney	GPL1261
GSM271197	kidney	GPL1261
GSM271198	kidney	GPL1261
GSM271199	kidney	GPL1261
GSM271200	kidney	GPL1261
GSM271201	kidney	GPL1261
GSM271202	kidney	GPL1261
GSM271203	kidney	GPL1261
GSM271204	kidney	GPL1261
GSM271205	kidney	GPL1261
GSM271206	kidney	GPL1261
GSM271207	kidney	GPL1261
GSM271208	kidney	GPL1261
GSM271209	kidney	GPL1261
GSM271210	kidney	GPL1261
GSM271211	kidney	GPL1261
GSM271212	brain	GPL1261
GSM271213	brain	GPL1261
GSM271214	brain	GPL1261
GSM271215	brain	GPL1261
GSM271216	brain	GPL1261
GSM271217	brain	GPL1261
GSM271218	brain	GPL1261
GSM271219	brain	GPL1261
GSM271220	brain	GPL1261
GSM271221	brain	GPL1261
GSM271222	brain	GPL1261
GSM271223	brain	GPL1261
GSM271224	brain	GPL1261
GSM271225	brain	GPL1261
GSM271226	brain	GPL1261
GSM271228	brain	GPL1261
GSM271229	brain	GPL1261
GSM271266	liver	GPL1261
GSM271267	liver	GPL1261
GSM271268	liver	GPL1261
GSM271269	liver	GPL1261
GSM271270	liver	GPL1261
GSM271271	liver	GPL1261
GSM271272	liver	GPL1261
GSM271273	liver	GPL1261
GSM271274	liver	GPL1261
GSM271275	liver	GPL1261
GSM271276	liver	GPL1261
GSM271277	liver	GPL1261
GSM271278	liver	GPL1261
GSM271279	liver	GPL1261
GSM271280	liver	GPL1261
GSM271281	liver	GPL1261
GSM271282	liver	GPL1261
GSM271283	liver	GPL1261
GSM276176	liver	GPL1261
GSM276178	liver	GPL1261
GSM276179	liver	GPL1261
